word	frequency	WiyotEquivalents
PST	1310	['yí', 'ko', 'his', 'he', 'kós', 'i', 'hiš', 'hís', 'yok', 'hi', 'í', 'hih', 'yó', 'hí', 'yo', 'hit', 'hé']
PROG	1299	['tá', 'tò,', 'tó,', 'to,', 'do', 'ta', 'te', 'toh', 'to', 'da', 'ti', 'tó', 'tho', 'dó', 'tu']
3SBJ.DEF	1286	['oł', 'eł', 'ał', 'íł,', 'i', 'ił', 'iš', 'el', 'ił:', 'ił,', 'íł']
3SBJ.DEF.	1274	['ùy.', 'íł.', 'eł.', 'ih.', 'uyh.', 'i.', 'ił.', 'il.', 'éł.', 'í.', 'ì.', 'ìł.', 'eh.']
DEM	839	['čuwokas', 'čuwotoh', 'čuwobókas', 'čuw', 'čéł', 'čuwobó', 'čuwokos', 'čiwował', 'čuwotokós', 'ča', 'čuwował', 'čuwótował', 'wókos', 'čiwo', 'čuwowáł', 'čiwokos', 'čiwáł', 'čuwotó', 'čí', 'čuwawał', 'čiwúda', 'čuwóta', 'čuwokós', 'čuwowó', 'čiwał', 'čubo', 'čawo', 'či', 'čuwowal', 'čił', 'čúwo', 'čiwikós', 'čuwówał', 'čuwotówał', 'čuwó', 'čuwatokos', 'čuwowałwáł', 'čiwokas', 'čuwówo', 'čawó', 'čuwa', 'čuwowu', 'ču', 'čuwikos', 'čuwototokós', 'četkwhał', 'bokos', 'čuwokás', 'čuwo', 'čiwokós', 'čuwe', 'čiwił', 'čuwowo', 'čhewó', 'číwo', 'če', 'čiwa', 'čuwókos', 'čito', 'čit', 'číwał', 'čuwowokós', 'čuwoto', 'čuwowikós', 'čuwotabował', 'čawó,']
INCH	828	['kowá', 'ków', 'ká', 'kawa', 'kawá', 'kowo', 'kawó', 'kow', 'khowé', 'kuwi', 'ko,', 'kówu', 'kówá', 'kuwóh', 'kowó', 'kowa', 'khawú', 'kowu', 'kówa', 'kó', 'kowíh', 'khó', 'ko', 'kik', 'kówo', 'ów', 'kawo', 'kowi', 'kowá,']
3OBJ	788	['m', 'óhm', 'úm', 'em', 'ítham', 'áw', 'ow', 'aw', 'ím', 'uhm', 'ob', 'ethám', 'm,', 'ahm', 'ihm', 'ab', 'áwuhm,', 'otham', 'othum', 'óm', 'um', 'itham', 'ohw', 'ém', 'ew', 'im', 'úw', 'ithám', 'eb', 'óg', 'ów', 'úk', 'ihs', 'áb', 'ad', 'étam', 'uk', 'ehm', 'uthám', 'íhm', 'ihw', 'b', 'etham', 'etám', 'am', 'iw', 'ik', 'ohm', 'úhm', 'uw', 'om', 'othúw']
ITER	778	['khú', 'kús', 'kú', 'ku', 'khu', 'ka', 'ku,']
EMP	649	['ó', 'lá', 'a', 'i', 'tú', 'y', 'ah', 'la', 'á', 'oy', 'yo', 'kó', 'ú', 'tu', 'ko', 'ya', 'ga', 'l', 'lo', 'ta', 'rá', 'w', 'u', 'o', 'al', 'ar', 'e', 'h', 'b', 'éh', 'ál', 'í', 'é', 'yi']
AFF	501	['kítko', 'kítkó', 'kitkó', 'kítko,', 'kitko', 'kitko,', 'kitké']
EMPH	494	['tk', 'łe', 'łi', 'itk,', 'etk', 'bał,', 'łé', 'li', 'itk', 'łá', 'bał', 'kó', 'ko', 'ki', 'lé', 'le', 'ło', 'hitk', 'kós', 'šu']
