word_1	word_2	biword	frequency
crow	please	crow|please	1
please	call.kin.in.law	please|call.kin.in.law	1
call.kin.in.law	NMLZ.A	call.kin.in.law|NMLZ.A	1
NMLZ.A	ocean	NMLZ.A|ocean	1
ocean	other.side	ocean|other.side	2
please	be.related.by.marriage	please|be.related.by.marriage	1
be.related.by.marriage	NMLZ.A	be.related.by.marriage|NMLZ.A	1
NMLZ.A	PST	NMLZ.A|PST	15
PST	PFV	PST|PFV	11
PFV	go	PFV|go	3
go	3SBJ.DEF.	go|3SBJ.DEF.	229
3SBJ.DEF.	ocean	3SBJ.DEF.|ocean	1
PST	travel.in.boat	PST|travel.in.boat	1
travel.in.boat	3SBJ.DEF.	travel.in.boat|3SBJ.DEF.	1
3SBJ.DEF.	child[pl]	3SBJ.DEF.|child[pl]	1
child[pl]	PL	child[pl]|PL	1
PL	take	PL|take	2
take	3OBJ	take|3OBJ	11
3OBJ	3SBJ.DEF	3OBJ|3SBJ.DEF	246
be.three	3SBJ.STV.	be.three|3SBJ.STV.	1
3SBJ.STV.	put	3SBJ.STV.|put	1
put	3SBJ.DEF	put|3SBJ.DEF	2
3SBJ.DEF	rock	3SBJ.DEF|rock	2
rock	SUB	rock|SUB	3
SUB	LOC.	SUB|LOC.	15
LOC.	porpoise	LOC.|porpoise	1
put	3SBJ.DEF.	put|3SBJ.DEF.	2
3SBJ.DEF.	PST	3SBJ.DEF.|PST	170
PST	ITER	PST|ITER	120
ITER	come	ITER|come	82
come	3SBJ.DEF.	come|3SBJ.DEF.	92
3SBJ.DEF.	what.int	3SBJ.DEF.|what.int	4
what.int	all	what.int|all	1
all	do.with	all|do.with	1
do.with	3OBJ	do.with|3OBJ	1
3OBJ	2SBJ	3OBJ|2SBJ	10
child[pl]?	crow	child[pl]?|crow	1
crow	say	crow|say	1
say	3SBJ.DEF	say|3SBJ.DEF	159
3SBJ.DEF	grandmother	3SBJ.DEF|grandmother	3
grandmother	3POSS	grandmother|3POSS	1
3POSS	stay	3POSS|stay	3
stay	PROG	stay|PROG	1
PROG	all	PROG|all	11
all	stay[3sbj].	all|stay[3sbj].	1
crow	eagle	crow|eagle	1
eagle	wife	eagle|wife	1
wife	3POSS.	wife|3POSS.	5
3POSS.	DEM.DIST	3POSS.|DEM.DIST	4
DEM.DIST	be.night	DEM.DIST|be.night	1
be.night	3SBJ.STV[NMLZ]	be.night|3SBJ.STV[NMLZ]	1
come	3SBJ.DEF	come|3SBJ.DEF	32
3SBJ.DEF	child.	3SBJ.DEF|child.	1
child.	crow	child.|crow	1
crow	flee	crow|flee	1
flee	3SBJ.DEF.	flee|3SBJ.DEF.	1
3SBJ.DEF.	eagle	3SBJ.DEF.|eagle	2
ask	3SBJ.DEF	ask|3SBJ.DEF	1
3SBJ.DEF	DEM.DIST	3SBJ.DEF|DEM.DIST	42
DEM.DIST	boy.	DEM.DIST|boy.	1
boy.	mother.sub	boy.|mother.sub	1
mother.sub	3POSS	mother.sub|3POSS	1
if	UNK	if|UNK	1
UNK	sit	UNK|sit	3
sit	CAUS	sit|CAUS	4
CAUS	3SBJ.DEF	CAUS|3SBJ.DEF	15
3SBJ.DEF	1SG	3SBJ.DEF|1SG	8
1SG	ADVS	1SG|ADVS	20
ADVS	rock	ADVS|rock	1
SUB	LOC	SUB|LOC	14
where	sit	where|sit	3
sit	move	sit|move	1
move	1OBJ[3SBJ].	move|1OBJ[3SBJ].	1
1OBJ[3SBJ].	PST	1OBJ[3SBJ].|PST	1
PST	go	PST|go	37
go	3SBJ.DEF	go|3SBJ.DEF	141
3SBJ.DEF	eagle.	3SBJ.DEF|eagle.	1
PST	pursue	PST|pursue	1
pursue	3OBJ	pursue|3OBJ	1
3OBJ	3SBJ.DEF.	3OBJ|3SBJ.DEF.	244
PST	go.to	PST|go.to	13
go.to	ITER	go.to|ITER	34
ITER	from.behind	ITER|from.behind	5
from.behind	catch	from.behind|catch	2
catch	3OBJ	catch|3OBJ	11
crow	PST	crow|PST	2
ITER	bring	ITER|bring	2
bring	3SBJ.INDF.	bring|3SBJ.INDF.	3
3SBJ.INDF.	eagle	3SBJ.INDF.|eagle	3
eagle	PROG	eagle|PROG	1
PROG	do.so	PROG|do.so	8
do.so	3SBJ.DEF.	do.so|3SBJ.DEF.	10
fire	LOC	fire|LOC	2
LOC	PST	LOC|PST	6
PST	PROG	PST|PROG	53
PROG	sit	PROG|sit	5
CAUS	3SBJ.INDF.	CAUS|3SBJ.INDF.	16
up.above	be.head	up.above|be.head	1
be.head	NMLZ.A	be.head|NMLZ.A	1
NMLZ.A	fire	NMLZ.A|fire	1
fire	EMP	fire|EMP	3
EMP	PROG	EMP|PROG	5
PROG	put.back.same.way[3sbj]	PROG|put.back.same.way[3sbj]	1
